ArrivalDate_Weekday;BookingDate_Weekday;adult_qty;Leaddays
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;THURSDAY ;1;2
SATURDAY ;SATURDAY ;1;0
SATURDAY ;FRIDAY   ;2;1
SUNDAY   ;SATURDAY ;2;1
SUNDAY   ;THURSDAY ;1;3
SUNDAY   ;SATURDAY ;1;1
SATURDAY ;FRIDAY   ;1;1
SATURDAY ;FRIDAY   ;1;1
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;FRIDAY   ;1;2
SATURDAY ;SATURDAY ;1;0
SATURDAY ;FRIDAY   ;1;1
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;FRIDAY   ;1;2
SATURDAY ;WEDNESDAY;2;3
SATURDAY ;SATURDAY ;2;0
SATURDAY ;SATURDAY ;2;0
SATURDAY ;SUNDAY   ;1;20
SUNDAY   ;MONDAY   ;2;13
SUNDAY   ;MONDAY   ;1;13
SUNDAY   ;WEDNESDAY;1;11
SUNDAY   ;WEDNESDAY;1;4
SUNDAY   ;SUNDAY   ;2;0
SUNDAY   ;FRIDAY   ;1;2
SUNDAY   ;FRIDAY   ;1;2
SUNDAY   ;SATURDAY ;1;1
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;FRIDAY   ;1;1
SATURDAY ;SATURDAY ;2;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;2;0
SUNDAY   ;SUNDAY   ;2;0
SUNDAY   ;SATURDAY ;1;8
SATURDAY ;TUESDAY  ;2;151
SATURDAY ;FRIDAY   ;2;15
SATURDAY ;THURSDAY ;2;58
SUNDAY   ;FRIDAY   ;1;79
SUNDAY   ;FRIDAY   ;1;79
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SATURDAY ;1;1
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;MONDAY   ;1;6
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;WEDNESDAY;1;3
SATURDAY ;SATURDAY ;2;0
SATURDAY ;TUESDAY  ;2;4
SATURDAY ;WEDNESDAY;2;3
SATURDAY ;MONDAY   ;2;236
SUNDAY   ;FRIDAY   ;1;30
SATURDAY ;FRIDAY   ;2;1
SUNDAY   ;WEDNESDAY;1;11
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SATURDAY ;1;1
SATURDAY ;TUESDAY  ;1;11
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;FRIDAY   ;1;1
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;2;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;FRIDAY   ;2;1
SATURDAY ;WEDNESDAY;2;3
SATURDAY ;THURSDAY ;2;23
SATURDAY ;FRIDAY   ;1;1
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SATURDAY ;1;8
SUNDAY   ;FRIDAY   ;1;79
SATURDAY ;FRIDAY   ;2;1
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SUNDAY   ;1;6
SUNDAY   ;SUNDAY   ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SUNDAY   ;1;6
SATURDAY ;SATURDAY ;1;0
SATURDAY ;FRIDAY   ;2;1
SATURDAY ;FRIDAY   ;2;1
SATURDAY ;SUNDAY   ;1;6
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SATURDAY ;1;1
SATURDAY ;SATURDAY ;2;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;2;0
SATURDAY ;TUESDAY  ;2;25
SATURDAY ;SATURDAY ;2;28
SATURDAY ;SATURDAY ;1;0
SUNDAY   ;SUNDAY   ;1;0
SATURDAY ;SATURDAY ;1;0
SATURDAY ;SATURDAY ;2;0
SATURDAY ;SATURDAY ;2;0
SATURDAY ;FRIDAY   ;3;1
SATURDAY ;SATURDAY ;1;0
SATURDAY ;TUESDAY  ;2;18
SUNDAY   ;TUESDAY  ;1;5
