ArrivalDate-Weekday;Arrival-Month;LeadDays;channel-id;lang-id
SATURDAY ;4;2;7;1
SATURDAY ;2;0;6;1
SATURDAY ;9;24;6;1
THURSDAY ;7;1;7;1
FRIDAY   ;6;60;6;1
SUNDAY   ;8;2;6;1
TUESDAY  ;5;8;7;1
TUESDAY  ;3;18;7;1
SUNDAY   ;2;3;7;1
WEDNESDAY;4;1;7;1
TUESDAY  ;10;1;6;1
SUNDAY   ;4;34;13;1
THURSDAY ;1;4;7;1
MONDAY   ;3;68;7;1
THURSDAY ;4;22;7;1
WEDNESDAY;1;1;7;1
SUNDAY   ;1;9;7;1
WEDNESDAY;5;5;6;1
WEDNESDAY;2;3;6;1
TUESDAY  ;7;6;6;1
SUNDAY   ;4;0;7;1
THURSDAY ;8;82;6;1
TUESDAY  ;3;8;13;1
SATURDAY ;6;1;7;1
SUNDAY   ;2;44;6;1
TUESDAY  ;1;43;7;1
WEDNESDAY;9;7;7;1
WEDNESDAY;6;28;13;1
SUNDAY   ;7;16;7;1
WEDNESDAY;8;10;6;1
MONDAY   ;2;3;6;1
WEDNESDAY;4;15;7;1
MONDAY   ;1;4;7;1
THURSDAY ;5;6;6;1
THURSDAY ;3;10;6;1
FRIDAY   ;8;1;6;1
SATURDAY ;4;0;7;1
THURSDAY ;8;21;7;1
WEDNESDAY;5;47;7;1
THURSDAY ;4;0;7;1
FRIDAY   ;9;7;6;1
TUESDAY  ;2;21;7;1
MONDAY   ;1;10;7;1
TUESDAY  ;1;62;7;1
FRIDAY   ;7;3;7;1
THURSDAY ;3;10;7;1
THURSDAY ;9;2;7;1
THURSDAY ;9;21;7;1
WEDNESDAY;4;15;7;1
MONDAY   ;7;6;6;1
SATURDAY ;6;18;7;1
FRIDAY   ;8;44;7;1
WEDNESDAY;1;3;7;1
SUNDAY   ;5;2;7;1
MONDAY   ;7;110;6;1
FRIDAY   ;4;0;7;1
THURSDAY ;8;27;6;1
MONDAY   ;10;11;7;1
WEDNESDAY;5;7;7;1
TUESDAY  ;4;14;7;1
FRIDAY   ;10;0;7;1
THURSDAY ;6;12;6;1
MONDAY   ;9;7;6;1
TUESDAY  ;9;7;6;1
WEDNESDAY;7;126;7;1
MONDAY   ;5;60;7;1
MONDAY   ;6;10;6;1
SATURDAY ;9;157;6;1
SATURDAY ;6;18;7;1
THURSDAY ;1;21;7;1
SUNDAY   ;7;4;7;1
TUESDAY  ;5;2;6;1
SATURDAY ;5;1;6;1
THURSDAY ;5;22;7;1
FRIDAY   ;2;0;7;1
FRIDAY   ;6;10;7;1
TUESDAY  ;9;21;7;1
WEDNESDAY;1;13;7;1
WEDNESDAY;10;21;6;1
SUNDAY   ;9;2;7;1
FRIDAY   ;6;5;6;1
WEDNESDAY;7;9;7;1
TUESDAY  ;5;1;13;1
SUNDAY   ;5;82;6;1
WEDNESDAY;4;1;7;1
SATURDAY ;8;27;6;1
SATURDAY ;8;68;6;1
SATURDAY ;9;157;6;1
WEDNESDAY;8;12;13;1
TUESDAY  ;9;35;7;1
TUESDAY  ;4;3;7;1
FRIDAY   ;6;16;6;1
SUNDAY   ;4;18;6;1
SATURDAY ;3;0;6;1
SUNDAY   ;2;22;13;1
MONDAY   ;4;2;6;1
THURSDAY ;3;13;7;1
SUNDAY   ;10;45;7;1
SUNDAY   ;3;1;7;1
TUESDAY  ;7;1;7;1
MONDAY   ;9;23;7;1
WEDNESDAY;9;23;7;1
FRIDAY   ;5;4;7;1
MONDAY   ;7;34;6;1
SUNDAY   ;8;2;7;1
FRIDAY   ;2;14;7;1
WEDNESDAY;4;8;7;1
FRIDAY   ;6;4;6;1
FRIDAY   ;9;200;6;1
SATURDAY ;4;9;7;1
MONDAY   ;9;73;7;1
SATURDAY ;4;8;7;1
TUESDAY  ;11;4;7;1
THURSDAY ;6;10;7;1
THURSDAY ;7;29;7;1
SUNDAY   ;1;0;7;1
SATURDAY ;9;5;6;1
FRIDAY   ;9;10;7;1
FRIDAY   ;9;16;7;1
TUESDAY  ;12;81;7;1
THURSDAY ;3;64;6;1
SUNDAY   ;12;110;6;1
SATURDAY ;5;102;1;1
TUESDAY  ;10;17;7;1
THURSDAY ;3;9;7;1
SUNDAY   ;3;12;7;1
FRIDAY   ;9;28;13;1
SUNDAY   ;8;20;7;1
SATURDAY ;1;1;7;1
FRIDAY   ;7;0;7;1
WEDNESDAY;7;5;7;1
FRIDAY   ;1;3;7;1
WEDNESDAY;1;6;7;1
FRIDAY   ;4;33;6;1
WEDNESDAY;7;21;7;1
MONDAY   ;4;39;6;1
SUNDAY   ;10;29;7;1
SUNDAY   ;5;20;13;1
SUNDAY   ;4;1;7;1
SUNDAY   ;6;0;7;1
TUESDAY  ;4;27;13;1
SATURDAY ;8;27;6;1
TUESDAY  ;2;14;7;1
SUNDAY   ;8;37;7;1
FRIDAY   ;7;224;7;1
TUESDAY  ;5;41;6;1
TUESDAY  ;4;12;7;1
SUNDAY   ;8;13;7;1
SATURDAY ;2;46;6;1
WEDNESDAY;10;2;7;1
MONDAY   ;2;14;7;1
TUESDAY  ;4;0;7;1
WEDNESDAY;8;55;6;1
TUESDAY  ;4;5;6;1
SUNDAY   ;9;39;6;1
SUNDAY   ;9;22;13;1
THURSDAY ;10;1;6;1
SUNDAY   ;7;26;6;1
MONDAY   ;5;1;6;1
WEDNESDAY;7;112;6;1
FRIDAY   ;10;80;7;1
FRIDAY   ;4;0;7;1
FRIDAY   ;2;8;6;1
THURSDAY ;10;20;6;1
FRIDAY   ;5;3;6;1
MONDAY   ;10;26;13;1
FRIDAY   ;7;207;6;1
SUNDAY   ;8;13;7;1
SATURDAY ;8;11;7;1
THURSDAY ;10;8;7;1
TUESDAY  ;5;0;7;1
WEDNESDAY;4;8;7;1
WEDNESDAY;1;117;7;1
SUNDAY   ;1;15;7;1
SATURDAY ;2;10;7;1
WEDNESDAY;8;3;6;1
SATURDAY ;2;25;7;1
FRIDAY   ;8;0;6;1
SUNDAY   ;10;20;7;1
TUESDAY  ;10;12;7;1
SUNDAY   ;5;23;7;1
SATURDAY ;10;5;6;1
TUESDAY  ;5;6;7;1
SATURDAY ;7;1;6;1
TUESDAY  ;1;18;7;1
SATURDAY ;8;52;6;1
TUESDAY  ;9;6;7;1
MONDAY   ;7;48;6;1
SATURDAY ;4;0;6;1
TUESDAY  ;9;39;6;1
TUESDAY  ;2;3;7;1
WEDNESDAY;4;14;7;1
TUESDAY  ;3;18;7;1
TUESDAY  ;7;34;6;1
MONDAY   ;8;20;7;1
WEDNESDAY;5;27;6;1
FRIDAY   ;9;9;7;1
THURSDAY ;8;19;7;1
SUNDAY   ;7;10;7;1
MONDAY   ;10;1;7;1
SUNDAY   ;8;20;7;1
MONDAY   ;7;58;6;1
WEDNESDAY;4;49;7;1
WEDNESDAY;7;1;13;1
MONDAY   ;10;38;3;1
WEDNESDAY;3;1;6;1
SATURDAY ;6;38;7;1
TUESDAY  ;2;1;7;1
SATURDAY ;9;31;6;1
SUNDAY   ;11;61;7;1
MONDAY   ;3;2;6;1
WEDNESDAY;10;20;7;1
MONDAY   ;1;0;7;1
THURSDAY ;2;3;6;1
FRIDAY   ;8;44;7;1
MONDAY   ;6;14;7;1
SUNDAY   ;6;5;7;1
MONDAY   ;6;31;13;1
SUNDAY   ;7;32;13;1
WEDNESDAY;6;0;7;1
SUNDAY   ;9;5;7;1
TUESDAY  ;4;12;7;1
THURSDAY ;10;13;7;1
SATURDAY ;10;243;13;1
TUESDAY  ;9;23;6;1
FRIDAY   ;2;4;6;1
WEDNESDAY;5;49;7;1
MONDAY   ;4;12;7;1
THURSDAY ;10;37;7;1
MONDAY   ;8;186;6;1
MONDAY   ;2;6;7;1
SUNDAY   ;2;5;7;1
THURSDAY ;7;42;6;1
WEDNESDAY;7;11;7;1
TUESDAY  ;5;15;7;1
WEDNESDAY;4;1;6;1
MONDAY   ;7;28;6;1
TUESDAY  ;1;47;7;1
THURSDAY ;9;29;6;1
FRIDAY   ;7;0;7;1
TUESDAY  ;4;71;7;1
THURSDAY ;10;2;6;1
WEDNESDAY;4;1;6;1
FRIDAY   ;3;0;7;1
TUESDAY  ;5;8;7;1
FRIDAY   ;6;5;6;1
SATURDAY ;10;2;6;1
FRIDAY   ;9;64;7;1
TUESDAY  ;3;6;13;1
MONDAY   ;7;6;13;1
FRIDAY   ;6;1;6;1
FRIDAY   ;6;5;7;1
SATURDAY ;6;57;6;1
SUNDAY   ;9;13;7;1
THURSDAY ;7;101;6;1
SUNDAY   ;3;0;6;1
SUNDAY   ;7;0;6;1
WEDNESDAY;6;59;6;1
SUNDAY   ;11;31;7;1
SUNDAY   ;7;3;7;1
THURSDAY ;3;14;7;1
THURSDAY ;8;12;6;1
TUESDAY  ;10;19;7;1
MONDAY   ;1;5;7;1
SUNDAY   ;10;29;7;1
WEDNESDAY;1;6;7;1
WEDNESDAY;1;1;7;1
SATURDAY ;1;16;7;1
MONDAY   ;5;70;6;1
SATURDAY ;6;71;7;1
SATURDAY ;11;8;7;1
THURSDAY ;6;8;13;1
WEDNESDAY;1;34;7;1
WEDNESDAY;1;6;7;1
FRIDAY   ;1;0;7;1
WEDNESDAY;3;25;6;1
MONDAY   ;6;56;13;1
SATURDAY ;7;94;7;1
WEDNESDAY;7;7;7;1
SUNDAY   ;7;18;13;1
WEDNESDAY;1;0;7;1
MONDAY   ;6;6;7;1
SUNDAY   ;3;1;7;1
WEDNESDAY;4;15;7;1
WEDNESDAY;2;1;7;1
SATURDAY ;8;316;6;1
THURSDAY ;8;0;7;1
SUNDAY   ;6;10;7;1
SUNDAY   ;6;3;7;1
THURSDAY ;2;49;7;1
WEDNESDAY;10;2;7;1
SUNDAY   ;3;6;7;1
WEDNESDAY;8;50;6;1
TUESDAY  ;7;30;6;1
TUESDAY  ;4;11;7;1
SATURDAY ;4;16;7;1
THURSDAY ;5;1;6;1
WEDNESDAY;1;12;7;1
TUESDAY  ;5;8;6;1
SATURDAY ;9;12;7;1
FRIDAY   ;8;6;7;1
SUNDAY   ;7;97;6;1
MONDAY   ;5;32;13;1
MONDAY   ;7;73;7;1
TUESDAY  ;9;41;1;1
TUESDAY  ;3;8;1;1
THURSDAY ;8;20;1;1
MONDAY   ;7;13;1;1
MONDAY   ;7;25;12;1
TUESDAY  ;10;11;13;1
MONDAY   ;1;50;6;1
TUESDAY  ;1;69;6;1
THURSDAY ;1;49;6;1
WEDNESDAY;1;46;6;1
MONDAY   ;1;58;6;1
SATURDAY ;1;37;6;1
FRIDAY   ;1;26;6;1
MONDAY   ;1;21;6;1
TUESDAY  ;1;27;6;1
FRIDAY   ;1;27;6;1
SATURDAY ;1;14;6;1
MONDAY   ;1;33;1;1
SATURDAY ;2;58;13;1
MONDAY   ;1;39;13;1
SUNDAY   ;1;1;12;1
TUESDAY  ;2;22;13;1
MONDAY   ;1;0;13;1
WEDNESDAY;1;1;13;1
MONDAY   ;1;1;12;1
MONDAY   ;5;139;13;1
MONDAY   ;5;139;13;1
FRIDAY   ;5;114;1;1
TUESDAY  ;2;15;13;1
TUESDAY  ;3;34;13;1
MONDAY   ;4;12;13;1
MONDAY   ;7;22;13;1
THURSDAY ;9;7;13;1
SATURDAY ;10;23;6;1
SATURDAY ;4;55;6;1
SATURDAY ;5;19;6;1
FRIDAY   ;10;15;6;1
SATURDAY ;8;62;6;1
WEDNESDAY;8;28;6;1
SATURDAY ;8;15;6;1
WEDNESDAY;3;1;6;1
WEDNESDAY;4;9;6;1
SATURDAY ;5;10;6;1
SATURDAY ;8;23;6;1
THURSDAY ;3;8;6;1
MONDAY   ;9;13;6;1
SATURDAY ;10;23;6;1
MONDAY   ;7;137;6;1
THURSDAY ;11;58;6;1
WEDNESDAY;5;35;6;1
MONDAY   ;7;60;6;1
SUNDAY   ;8;42;6;1
SATURDAY ;8;88;6;1
THURSDAY ;5;0;6;1
MONDAY   ;7;137;6;1
FRIDAY   ;3;1;6;1
WEDNESDAY;10;34;6;1
WEDNESDAY;8;78;6;1
TUESDAY  ;1;145;7;1
SUNDAY   ;2;2;7;1
SATURDAY ;1;0;7;1
SATURDAY ;7;12;7;1
TUESDAY  ;3;13;6;1
FRIDAY   ;5;25;7;1
TUESDAY  ;8;17;6;1
SUNDAY   ;6;2;7;1
FRIDAY   ;6;1;6;1
THURSDAY ;1;0;7;1
WEDNESDAY;4;30;7;1
SUNDAY   ;8;58;6;1
MONDAY   ;11;5;7;1
MONDAY   ;7;3;7;1
TUESDAY  ;6;22;6;1
FRIDAY   ;4;23;7;1
FRIDAY   ;9;86;7;1
SUNDAY   ;10;23;13;1
FRIDAY   ;7;31;6;1
MONDAY   ;10;7;7;1
SUNDAY   ;2;11;1;1
WEDNESDAY;10;27;7;1
SUNDAY   ;6;31;7;1
SATURDAY ;6;0;7;1
SATURDAY ;8;9;6;1
MONDAY   ;1;0;7;1
SUNDAY   ;2;15;13;1
SUNDAY   ;6;5;7;1
WEDNESDAY;4;15;7;1
FRIDAY   ;8;1;6;1
TUESDAY  ;9;7;7;1
THURSDAY ;7;2;13;1
FRIDAY   ;8;21;6;1
SATURDAY ;3;1;7;1
WEDNESDAY;7;0;6;1
MONDAY   ;4;0;6;1
FRIDAY   ;10;42;7;1
WEDNESDAY;5;42;6;1
THURSDAY ;10;8;7;1
MONDAY   ;10;18;7;1
SUNDAY   ;10;39;6;1
SATURDAY ;9;156;6;1
THURSDAY ;10;8;7;1
TUESDAY  ;6;33;7;1
TUESDAY  ;3;33;6;1
FRIDAY   ;9;22;7;1
TUESDAY  ;5;8;7;1
MONDAY   ;2;1;6;1
SATURDAY ;9;10;7;1
SUNDAY   ;1;0;7;1
MONDAY   ;4;0;7;1
MONDAY   ;8;168;7;1
FRIDAY   ;2;14;13;1
SUNDAY   ;6;24;13;1
SATURDAY ;10;36;13;1
FRIDAY   ;7;22;13;1
TUESDAY  ;2;6;13;1
FRIDAY   ;7;64;6;1
WEDNESDAY;1;9;7;1
TUESDAY  ;10;21;7;1
SUNDAY   ;4;65;6;1
SUNDAY   ;8;9;6;1
THURSDAY ;3;0;7;1
FRIDAY   ;8;0;7;1
FRIDAY   ;5;108;13;1
FRIDAY   ;8;29;13;1
THURSDAY ;6;23;7;1
TUESDAY  ;5;59;6;1
SATURDAY ;6;9;7;1
WEDNESDAY;9;1;6;1
SUNDAY   ;6;46;13;1
WEDNESDAY;4;14;7;1
SATURDAY ;9;8;6;1
SATURDAY ;6;18;7;1
TUESDAY  ;4;13;6;1
THURSDAY ;8;10;6;1
FRIDAY   ;4;0;6;1
MONDAY   ;2;0;7;1
FRIDAY   ;2;6;6;1
MONDAY   ;5;21;6;1
WEDNESDAY;10;20;7;1
THURSDAY ;6;38;13;1
THURSDAY ;8;0;6;1
SUNDAY   ;6;58;6;1
WEDNESDAY;7;9;7;1
SUNDAY   ;2;3;7;1
TUESDAY  ;5;12;13;1
TUESDAY  ;7;2;7;1
THURSDAY ;2;16;6;1
WEDNESDAY;8;20;7;1
WEDNESDAY;5;42;6;1
TUESDAY  ;8;5;7;1
TUESDAY  ;9;3;13;1
WEDNESDAY;7;46;6;1
WEDNESDAY;8;20;7;1
SATURDAY ;7;152;6;1
MONDAY   ;3;0;13;1
SUNDAY   ;3;3;13;1
WEDNESDAY;10;40;13;1
MONDAY   ;4;3;13;1
SUNDAY   ;7;80;6;1
SUNDAY   ;9;47;3;1
THURSDAY ;7;41;6;1
SUNDAY   ;8;8;7;1
SATURDAY ;5;3;6;1
SUNDAY   ;10;4;13;1
TUESDAY  ;1;43;7;1
THURSDAY ;4;55;6;1
SATURDAY ;4;3;7;1
SATURDAY ;3;24;6;1
SATURDAY ;6;4;6;1
FRIDAY   ;6;54;6;1
WEDNESDAY;6;36;7;1
MONDAY   ;7;36;6;1
THURSDAY ;10;17;7;1
THURSDAY ;8;1;6;1
SUNDAY   ;5;5;7;1
TUESDAY  ;4;12;7;1
THURSDAY ;2;3;7;1
SATURDAY ;5;0;6;1
TUESDAY  ;8;50;7;1
FRIDAY   ;6;2;7;1
WEDNESDAY;6;7;6;1
THURSDAY ;5;29;7;1
FRIDAY   ;3;14;7;1
WEDNESDAY;3;6;7;1
FRIDAY   ;5;18;7;1
TUESDAY  ;5;0;7;1
FRIDAY   ;1;0;7;1
FRIDAY   ;2;7;7;1
MONDAY   ;10;46;7;1
MONDAY   ;3;6;6;1
WEDNESDAY;9;8;7;1
SUNDAY   ;5;4;7;1
SUNDAY   ;8;64;6;1
WEDNESDAY;1;6;7;1
MONDAY   ;1;4;7;1
TUESDAY  ;7;27;6;1
THURSDAY ;6;74;6;1
FRIDAY   ;8;4;7;1
THURSDAY ;9;3;7;1
SUNDAY   ;10;58;7;1
MONDAY   ;10;7;7;1
THURSDAY ;4;1;7;1
WEDNESDAY;4;8;7;1
MONDAY   ;9;37;6;1
WEDNESDAY;1;2;7;1
MONDAY   ;4;0;7;1
FRIDAY   ;1;21;7;1
SATURDAY ;6;29;7;1
WEDNESDAY;10;20;7;1
MONDAY   ;8;102;6;1
FRIDAY   ;3;0;7;1
TUESDAY  ;9;120;7;1
WEDNESDAY;5;29;6;1
TUESDAY  ;9;25;7;1
THURSDAY ;1;27;7;1
MONDAY   ;9;74;7;1
MONDAY   ;9;6;13;1
THURSDAY ;1;5;7;1
WEDNESDAY;3;0;7;1
SATURDAY ;7;4;7;1
WEDNESDAY;1;5;7;1
TUESDAY  ;8;80;6;1
SUNDAY   ;10;0;6;1
SUNDAY   ;6;38;7;1
MONDAY   ;8;4;7;1
MONDAY   ;2;45;6;1
WEDNESDAY;10;6;7;1
MONDAY   ;7;13;13;1
SATURDAY ;5;0;6;1
WEDNESDAY;4;15;7;1
SATURDAY ;3;0;7;1
WEDNESDAY;9;19;13;1
THURSDAY ;1;7;7;1
MONDAY   ;1;27;7;1
SATURDAY ;7;0;7;1
SUNDAY   ;8;15;6;1
SATURDAY ;6;19;6;1
SATURDAY ;5;155;1;1
SATURDAY ;10;319;13;1
SATURDAY ;7;0;7;1
WEDNESDAY;10;34;13;1
TUESDAY  ;8;5;7;1
WEDNESDAY;10;5;13;1
WEDNESDAY;5;6;13;1
WEDNESDAY;1;13;7;1
SUNDAY   ;2;53;7;1
FRIDAY   ;7;25;7;1
WEDNESDAY;8;8;7;1
THURSDAY ;8;10;6;1
WEDNESDAY;1;12;7;1
THURSDAY ;4;24;7;1
FRIDAY   ;5;5;6;1
WEDNESDAY;1;7;7;1
FRIDAY   ;6;1;6;1
FRIDAY   ;9;2;7;1
SATURDAY ;9;4;7;1
WEDNESDAY;1;7;7;1
THURSDAY ;6;68;6;1
THURSDAY ;10;8;7;1
THURSDAY ;8;124;6;1
SUNDAY   ;4;10;7;1
WEDNESDAY;1;44;7;1
THURSDAY ;3;6;6;1
SATURDAY ;7;35;6;1
SUNDAY   ;6;47;7;1
SATURDAY ;8;10;6;1
THURSDAY ;8;53;6;1
WEDNESDAY;1;6;7;1
TUESDAY  ;6;249;7;1
THURSDAY ;11;79;6;1
WEDNESDAY;7;167;6;1
MONDAY   ;6;13;7;1
SUNDAY   ;4;8;7;1
SATURDAY ;9;23;6;1
TUESDAY  ;5;5;13;1
WEDNESDAY;6;63;7;1
THURSDAY ;5;10;7;1
FRIDAY   ;4;22;7;1
WEDNESDAY;1;58;7;1
MONDAY   ;8;10;6;1
SUNDAY   ;1;16;7;1
TUESDAY  ;6;22;6;1
MONDAY   ;4;9;6;1
SATURDAY ;5;1;7;1
WEDNESDAY;6;84;7;1
FRIDAY   ;9;6;6;1
TUESDAY  ;1;25;7;1
MONDAY   ;6;3;13;1
WEDNESDAY;9;28;6;1
FRIDAY   ;8;8;7;1
SATURDAY ;6;18;7;1
TUESDAY  ;7;15;13;1
SUNDAY   ;6;11;7;1
SATURDAY ;8;24;6;1
THURSDAY ;3;13;13;1
MONDAY   ;10;27;6;1
WEDNESDAY;4;43;6;1
TUESDAY  ;3;29;7;1
FRIDAY   ;3;25;6;1
SATURDAY ;8;47;7;1
MONDAY   ;5;5;6;1
WEDNESDAY;2;1;13;1
TUESDAY  ;3;4;6;1
TUESDAY  ;6;19;7;1
FRIDAY   ;10;1;7;1
FRIDAY   ;7;15;7;1
FRIDAY   ;8;1;6;1
SUNDAY   ;2;26;7;1
FRIDAY   ;1;9;7;1
SATURDAY ;10;1;6;1
MONDAY   ;3;0;7;1
TUESDAY  ;9;28;6;1
MONDAY   ;6;6;13;1
FRIDAY   ;6;3;7;1
THURSDAY ;9;58;6;1
THURSDAY ;3;84;13;1
THURSDAY ;3;2;13;1
FRIDAY   ;7;0;7;1
FRIDAY   ;5;91;6;1
WEDNESDAY;7;9;7;1
WEDNESDAY;1;7;7;1
THURSDAY ;3;5;6;1
FRIDAY   ;8;1;6;1
TUESDAY  ;10;5;7;1
SATURDAY ;4;12;7;1
SUNDAY   ;6;2;7;1
SUNDAY   ;6;0;7;1
SATURDAY ;9;8;6;1
FRIDAY   ;9;7;6;1
TUESDAY  ;3;13;13;1
THURSDAY ;3;0;6;1
TUESDAY  ;2;14;7;1
FRIDAY   ;3;24;6;1
TUESDAY  ;10;15;7;1
SATURDAY ;4;0;6;1
THURSDAY ;2;0;6;1
TUESDAY  ;5;13;7;1
TUESDAY  ;9;12;7;1
SUNDAY   ;10;123;13;1
TUESDAY  ;10;6;7;1
FRIDAY   ;3;2;7;1
THURSDAY ;4;0;6;1
MONDAY   ;4;46;6;1
THURSDAY ;8;3;6;1
